seller_id,name,domain,seller_type
1277,Gossipinfo ,gossipinfo.com.ng,PUBLISHER
1278,Uprightblog ,uprightblog.com.ng,PUBLISHER
1279,Flowbaze.com,flowbaze.com,PUBLISHER
1280,Inuayeblog,inuaye.com.ng,PUBLISHER
1285,Crosshilt,crosshilt.co.uk,PUBLISHER
1287,Thisweekpoolresult.com,thisweekpoolresult.com,PUBLISHER
1288,Bloomberglite.com,bloomberglite.com,PUBLISHER
1289,Maxtour,maxtour.co.uk,PUBLISHER
1291,Tangolog,tangolog.com,PUBLISHER
1300,crypto sack,crypto.dailyreportng.com,PUBLISHER
1303,Afrobeat za,afrobeat.co.za,PUBLISHER
1304,Idusport UK,idusport.uk,PUBLISHER
1310,Naija Celebrity News,naijacelebritynews.com,PUBLISHER
1313,Brawndy Business School Foundation,brawndybusinessfoundation.com,PUBLISHER
1319,Ebanter media,ebanter.com.ng,PUBLISHER
